Setpoint, C:;350

Time, sec;Temperature 1, C;Temperature 2, C;Relay 1;Relay 2
446;351.4;124.9;0;0
447;351.4;124.9;0;0
448;351.4;124.9;0;0
449;351.3;124.9;0;0
450;351.3;124.9;0;0
451;351.3;124.9;0;0
452;351.3;124.9;0;0
453;351.1;124.9;0;0
454;351.1;124.9;0;0
455;351.1;124.9;0;0
456;351.1;124.9;0;0
457;351;124.9;0;0
458;351;124.9;0;0
459;351;124.9;0;0
460;350.9;124.9;0;0
461;350.9;124.9;0;0
462;350.8;124.9;0;0
463;350.7;124.9;0;0
464;350.7;124.9;0;0
465;350.7;124.9;0;0
466;350.6;124.9;0;0
467;350.6;124.9;0;0
468;350.5;124.9;0;0
469;350.5;124.9;0;0
470;350.5;124.9;0;0
471;350.4;124.9;0;0
472;350.3;124.9;0;0
473;350.3;124.9;0;0
474;350.2;124.9;0;0
475;350.2;124.9;0;0
476;350.2;124.9;0;0
477;350.2;124.9;0;0
478;350.1;124.9;0;0
479;350.1;124.9;0;0
480;350;124.9;0;0
481;349.9;124.9;0;0
482;349.9;124.9;0;0
483;349.9;124.9;0;0
484;349.8;124.9;0;0
485;349.8;124.9;0;0
486;349.7;124.9;0;0
487;349.7;124.9;0;0
488;349.6;124.9;0;0
489;349.5;124.9;0;0
490;349.5;124.9;0;0
491;349.5;124.9;0;0
492;349.4;124.9;0;0
493;349.4;124.9;0;0
494;349.3;124.9;0;0
495;349.3;124.9;0;0
496;349.2;124.9;0;0
497;349.2;124.9;0;0
498;349.1;124.9;0;0
499;349.1;124.9;0;0
500;349;124.9;0;0
501;349;124.9;0;0
502;348.9;124.9;0;0
503;348.9;124.9;0;0
504;348.8;124.9;0;0
505;348.8;124.9;0;0
506;348.7;124.9;0;0
507;348.7;124.9;0;0
508;348.6;124.9;0;0
509;348.6;124.9;0;0
510;348.5;124.9;0;0
511;348.5;124.9;0;0
512;348.4;124.9;0;0
513;348.3;124.9;0;0
514;348.3;124.9;0;0
515;348.3;124.9;0;0
516;348.2;124.9;0;0
517;348;124.9;0;0
518;348.1;124.9;0;0
519;348;124.9;0;0
520;348;124.9;0;0
521;347.9;124.9;0;0
522;347.9;124.9;0;0
523;347.8;124.9;0;0
524;347.8;124.9;0;0
525;347.8;124.9;0;0
526;347.7;124.9;0;0
527;347.6;124.9;0;0
528;347.6;124.9;0;0
529;347.6;124.9;0;0
530;347.4;124.9;0;0
531;347.4;124.9;0;0
532;347.3;124.9;0;0
533;347.3;124.9;0;0
534;347.2;124.9;0;0
535;347.2;124.9;0;0
536;347.1;124.9;0;0
537;347;124.9;0;0
538;347;124.9;0;0
539;347;124.9;0;0
540;346.9;124.9;0;0
541;346.9;124.9;0;0
542;346.8;124.9;0;0
543;346.8;124.9;0;0
544;346.7;124.9;0;0
545;346.7;124.9;0;0
546;346.6;124.9;0;0
547;346.5;124.9;0;0
548;346.5;124.9;0;0
549;346.5;124.9;0;0
550;346.4;124.9;1;1
551;346.3;124.9;0;0
552;346.3;124.9;0;0
553;346.2;124.9;0;0
554;346.2;124.9;0;0
555;346.2;124.9;0;0
556;346.1;124.9;0;0
557;346.1;124.9;0;0
558;346;124.9;0;0
559;346.1;124.9;0;0
560;345.9;124.9;0;0
561;346;124.9;0;0
562;345.8;124.9;0;0
563;345.8;124.9;1;1
564;345.8;124.9;0;0
565;345.8;124.9;0;0
566;345.8;124.9;0;0
567;345.8;124.9;0;0
568;345.8;124.9;0;0
569;345.7;124.9;1;1
570;345.7;124.9;1;1
571;345.6;124.9;0;0
572;345.7;124.9;0;0
573;345.6;124.9;0;0
574;345.6;124.9;0;0
575;345.6;124.9;0;0
576;345.7;124.9;1;1
577;345.6;124.9;0;0
578;345.7;124.9;0;0
579;345.7;124.9;0;0
580;345.7;124.9;0;0
581;345.7;124.9;0;0
582;345.6;124.9;1;1
583;345.7;124.9;1;1
584;345.7;124.9;0;0
585;345.7;124.9;0;0
586;345.7;124.9;0;0
587;345.7;124.9;0;0
588;345.7;124.9;1;1
589;345.8;124.9;1;1
590;345.8;124.9;0;0
591;346;124.9;0;0
592;346;124.9;0;0
593;346;124.9;0;0
594;346;124.9;0;0
595;346.1;124.9;0;0
596;346.1;124.9;1;1
597;346.2;124.9;0;0
598;346.2;124.9;0;0
599;346.2;124.9;0;0
600;346.3;124.9;0;0
601;346.3;124.9;0;0
602;346.4;124.9;1;1
603;346.4;124.9;0;0
604;346.4;124.9;0;0
605;346.4;124.9;0;0
606;346.5;124.9;0;0
607;346.5;124.9;0;0
608;346.6;124.9;1;1
609;346.6;124.9;0;0
610;346.6;124.9;0;0
611;346.6;124.9;0;0
612;346.6;124.9;0;0
613;346.6;124.9;0;0
614;346.7;124.9;0;0
615;346.7;124.9;1;1
616;346.8;124.9;0;0
617;346.8;124.9;0;0
618;346.8;124.9;0;0
619;346.8;124.9;0;0
620;346.9;124.9;0;0
621;346.9;124.9;1;1
622;346.9;124.9;0;0
623;346.9;124.9;0;0
624;346.9;124.9;0;0
625;347;124.9;0;0
626;346.9;124.9;0;0
627;347;124.9;1;1
628;347;124.9;0;0
629;347;124.9;0;0
630;347;124.9;0;0
631;347.1;124.9;0;0
632;347;124.9;0;0
633;347.1;124.9;0;0
634;347.1;124.9;1;1
635;347.2;124.9;0;0
636;347.2;124.9;0;0
637;347.2;124.9;0;0
638;347.2;124.9;0;0
639;347.3;124.9;0;0
640;347.3;124.9;1;1
641;347.3;124.9;0;0
642;347.2;124.9;0;0
643;347.3;124.9;0;0
644;347.4;124.9;0;0
645;347.4;124.9;0;0
646;347.5;124.9;1;1
647;347.4;124.9;0;0
648;347.5;124.9;0;0
649;347.5;124.9;0;0
650;347.5;124.9;0;0
651;347.6;124.9;0;0
652;347.5;124.9;0;0
653;347.6;124.9;1;1
654;347.6;124.9;0;0
655;347.6;124.9;0;0
656;347.7;124.9;0;0
657;347.7;124.9;0;0
658;347.7;124.9;0;0
659;347.7;124.9;1;1
660;347.8;124.9;0;0
661;347.8;124.9;0;0
662;347.9;124.9;0;0
663;347.8;124.9;0;0
664;347.9;124.9;0;0
665;348;124.9;0;0
666;348;124.9;0;0
667;348;124.9;0;0
668;348;124.9;0;0
669;348;124.9;0;0
670;348;124.9;0;0
671;348;124.9;0;0
672;348;124.9;1;1
673;348;124.9;0;0
674;348;124.9;0;0
675;348.1;124.9;0;0
676;348.1;124.9;0;0
677;348;124.9;0;0
678;348.1;124.9;1;1
679;348.1;124.9;0;0
680;348.1;124.9;0;0
681;348.1;124.9;0;0
682;348.1;124.9;0;0
683;348.1;124.9;0;0
684;348.1;124.9;0;0
685;348.1;124.9;0;0
686;348.1;124.9;0;0
687;348.2;124.9;0;0
688;348.2;124.9;0;0
689;348.3;124.9;0;0
690;348.2;124.9;0;0
691;348.2;124.9;1;1
692;348.3;124.9;0;0
693;348.3;124.9;0;0
694;348.2;124.9;0;0
695;348.2;124.9;0;0
696;348.3;124.9;0;0
697;348.3;124.9;0;0
698;348.3;124.9;0;0
699;348.3;124.9;0;0
700;348.2;124.9;0;0
701;348.3;124.9;0;0
702;348.3;124.9;0;0
703;348.2;124.9;0;0
704;348.2;124.9;1;1
705;348.3;124.9;0;0
706;348.2;124.9;0;0
707;348.2;124.9;0;0
708;348.3;124.9;0;0
709;348.3;124.9;0;0
710;348.2;124.9;1;1
711;348.3;124.9;0;0
712;348.3;124.9;0;0
713;348.2;124.9;0;0
714;348.3;124.9;0;0
715;348.3;124.9;0;0
716;348.3;124.9;0;0
717;348.3;124.9;1;1
718;348.3;124.9;0;0
719;348.3;124.9;0;0
720;348.3;124.9;0;0
721;348.3;124.9;0;0
722;348.3;124.9;0;0
723;348.4;124.9;1;1
724;348.4;124.9;0;0
725;348.4;124.9;0;0
726;348.4;124.9;0;0
727;348.4;124.9;0;0
728;348.4;124.9;0;0
729;348.5;124.9;1;1
730;348.5;124.9;0;0
731;348.6;124.9;0;0
732;348.5;124.9;0;0
733;348.6;124.9;0;0
734;348.6;124.9;0;0
735;348.7;124.9;0;0
736;348.7;124.9;0;0
737;348.6;124.9;0;0
