Time, sec;Temperature 1, C;Temperature 2, C;Set point, C;Relay 1;Relay 2
485;382.3;124.9;380;0;0
486;382.2;124.9;380;0;0
487;382.2;124.9;380;0;0
488;382.2;124.9;380;0;0
489;382.2;124.9;380;0;0
490;382.2;124.9;380;0;0
491;382.2;124.9;380;0;0
492;382.2;124.9;380;0;0
493;382.1;124.9;380;0;0
494;382.2;124.9;380;0;0
495;382.1;124.9;380;0;0
496;382.1;124.9;380;0;0
497;382.1;124.9;380;0;0
498;382.1;124.9;380;0;0
499;382.1;124.9;380;0;0
500;382.1;124.9;380;0;0
501;382.1;124.9;380;0;0
502;382.1;124.9;380;0;0
503;382.1;124.9;380;0;0
504;382;124.9;380;0;0
505;382.1;124.9;380;0;0
506;382;124.9;380;0;0
507;382;124.9;380;0;0
508;382;124.9;380;0;0
509;382;124.9;380;0;0
510;382;124.9;380;0;0
511;382;124.9;380;0;0
512;382;124.9;380;0;0
513;381.9;124.9;380;0;0
514;381.9;124.9;380;0;0
515;381.9;124.9;380;0;0
516;381.9;124.9;380;0;0
517;381.8;124.9;380;0;0
518;381.8;124.9;380;0;0
519;381.8;124.9;380;0;0
520;381.8;124.9;380;0;0
521;381.8;124.9;380;0;0
522;381.8;124.9;380;0;0
523;381.7;124.9;380;0;0
524;381.7;124.9;380;0;0
525;381.7;124.9;380;0;0
526;381.7;124.9;380;0;0
527;381.6;124.9;380;0;0
528;381.6;124.9;380;0;0
529;381.5;124.9;380;0;0
530;381.5;124.9;380;0;0
531;381.6;124.9;380;0;0
532;381.5;124.9;380;0;0
533;381.5;124.9;380;0;0
534;381.5;124.9;380;0;0
535;381.4;124.9;380;0;0
536;381.4;124.9;380;0;0
537;381.4;124.9;380;0;0
538;381.3;124.9;380;0;0
539;381.3;124.9;380;0;0
540;381.2;124.9;380;0;0
541;381.2;124.9;380;0;0
542;381.2;124.9;380;0;0
543;381.2;124.9;380;0;0
544;381.2;124.9;380;0;0
545;381;124.9;380;0;0
546;381.1;124.9;380;0;0
547;381.1;124.9;380;0;0
548;381;124.9;380;0;0
549;381;124.9;380;0;0
550;380.9;124.9;380;0;0
551;380.9;124.9;380;0;0
552;380.9;124.9;380;0;0
553;381;124.9;380;0;0
554;380.9;124.9;380;0;0
555;380.8;124.9;380;0;0
556;380.8;124.9;380;0;0
557;380.8;124.9;380;0;0
558;380.8;124.9;380;0;0
559;380.8;124.9;380;0;0
560;380.7;124.9;380;0;0
561;380.7;124.9;380;0;0
562;380.6;124.9;380;0;0
563;380.6;124.9;380;0;0
564;380.5;124.9;380;0;0
565;380.5;124.9;380;0;0
566;380.4;124.9;380;0;0
567;380.5;124.9;380;0;0
568;380.4;124.9;380;0;0
569;380.4;124.9;380;0;0
570;380.4;124.9;380;0;0
571;380.3;124.9;380;0;0
572;380.3;124.9;380;0;0
573;380.2;124.9;380;0;0
574;380.1;124.9;380;0;0
575;380.1;124.9;380;0;0
